image_path,label
data\raw\soyabean_dataset\Rust\RUST(27).jpg,3
data\raw\soyabean_dataset\Rust\RUST(96).jpg,3
data\raw\soyabean_dataset\Cercospora Leaf Blight\CLB(92).jpg,1
data\raw\soyabean_dataset\Rust\RUST(42).jpg,3
data\raw\soyabean_dataset\Bacterial Blight\BB(23).jpg,0
data\raw\soyabean_dataset\Healthy\HEALTHY(66).jpg,2
data\raw\soyabean_dataset\Cercospora Leaf Blight\CLB(12).jpg,1
data\raw\soyabean_dataset\Sudden Death Syndrome\SDS(26).jpg,4
data\raw\soyabean_dataset\Healthy\HEALTHY(22).jpg,2
data\raw\soyabean_dataset\Sudden Death Syndrome\SDS(3).jpg,4
data\raw\soyabean_dataset\Healthy\HEALTHY(64).jpg,2
data\raw\soyabean_dataset\Sudden Death Syndrome\SDS(57).jpg,4
data\raw\soyabean_dataset\Sudden Death Syndrome\SDS(62).jpg,4
data\raw\soyabean_dataset\Sudden Death Syndrome\SDS(48).jpg,4
data\raw\soyabean_dataset\Cercospora Leaf Blight\CLB(77).jpg,1
data\raw\soyabean_dataset\Healthy\HEALTHY(12).jpg,2
data\raw\soyabean_dataset\Bacterial Blight\BB(65).jpg,0
data\raw\soyabean_dataset\Healthy\HEALTHY(52).jpg,2
data\raw\soyabean_dataset\Bacterial Blight\BB(5).jpg,0
data\raw\soyabean_dataset\Cercospora Leaf Blight\CLB(65).jpg,1
data\raw\soyabean_dataset\Rust\RUST(13).jpg,3
data\raw\soyabean_dataset\Healthy\HEALTHY(42).jpg,2
data\raw\soyabean_dataset\Cercospora Leaf Blight\CLB(36).jpg,1
data\raw\soyabean_dataset\Sudden Death Syndrome\SDS(29).jpg,4
data\raw\soyabean_dataset\Cercospora Leaf Blight\CLB(24).jpg,1
data\raw\soyabean_dataset\Cercospora Leaf Blight\CLB(54).jpg,1
data\raw\soyabean_dataset\Sudden Death Syndrome\SDS(87).jpg,4
data\raw\soyabean_dataset\Sudden Death Syndrome\SDS(31).jpg,4
data\raw\soyabean_dataset\Rust\RUST(69).jpg,3
data\raw\soyabean_dataset\Sudden Death Syndrome\SDS(68).jpg,4
data\raw\soyabean_dataset\Cercospora Leaf Blight\CLB(90).jpg,1
data\raw\soyabean_dataset\Cercospora Leaf Blight\CLB(40).jpg,1
data\raw\soyabean_dataset\Bacterial Blight\BB(73).jpg,0
data\raw\soyabean_dataset\Healthy\HEALTHY(82).jpg,2
data\raw\soyabean_dataset\Bacterial Blight\BB(20).jpg,0
data\raw\soyabean_dataset\Cercospora Leaf Blight\CLB(86).jpg,1
data\raw\soyabean_dataset\Bacterial Blight\BB(54).jpg,0
data\raw\soyabean_dataset\Sudden Death Syndrome\SDS(83).jpg,4
data\raw\soyabean_dataset\Healthy\HEALTHY(88).jpg,2
data\raw\soyabean_dataset\Cercospora Leaf Blight\CLB(42).jpg,1
data\raw\soyabean_dataset\Healthy\HEALTHY(73).jpg,2
data\raw\soyabean_dataset\Rust\RUST(95).jpg,3
data\raw\soyabean_dataset\Cercospora Leaf Blight\CLB(19).jpg,1
data\raw\soyabean_dataset\Rust\RUST(45).jpg,3
data\raw\soyabean_dataset\Sudden Death Syndrome\SDS(100).jpg,4
data\raw\soyabean_dataset\Rust\RUST(65).jpg,3
data\raw\soyabean_dataset\Bacterial Blight\BB(75).jpg,0
data\raw\soyabean_dataset\Rust\RUST(57).jpg,3
data\raw\soyabean_dataset\Healthy\HEALTHY(89).jpg,2
data\raw\soyabean_dataset\Cercospora Leaf Blight\CLB(85).jpg,1
data\raw\soyabean_dataset\Rust\RUST(94).jpg,3
data\raw\soyabean_dataset\Bacterial Blight\BB(95).jpg,0
data\raw\soyabean_dataset\Sudden Death Syndrome\SDS(79).jpg,4
data\raw\soyabean_dataset\Rust\RUST(75).jpg,3
data\raw\soyabean_dataset\Rust\RUST(25).jpg,3
data\raw\soyabean_dataset\Cercospora Leaf Blight\CLB(10).jpg,1
data\raw\soyabean_dataset\Healthy\HEALTHY(39).jpg,2
data\raw\soyabean_dataset\Bacterial Blight\BB(58).jpg,0
data\raw\soyabean_dataset\Healthy\HEALTHY(69).jpg,2
data\raw\soyabean_dataset\Bacterial Blight\BB(6).jpg,0
data\raw\soyabean_dataset\Sudden Death Syndrome\SDS(12).jpg,4
data\raw\soyabean_dataset\Bacterial Blight\BB(46).jpg,0
data\raw\soyabean_dataset\Rust\RUST(74).jpg,3
data\raw\soyabean_dataset\Rust\RUST(90).jpg,3
data\raw\soyabean_dataset\Cercospora Leaf Blight\CLB(35).jpg,1
data\raw\soyabean_dataset\Bacterial Blight\BB(70).jpg,0
data\raw\soyabean_dataset\Sudden Death Syndrome\SDS(5).jpg,4
data\raw\soyabean_dataset\Rust\RUST(56).jpg,3
data\raw\soyabean_dataset\Healthy\HEALTHY(13).jpg,2
data\raw\soyabean_dataset\Healthy\HEALTHY(31).jpg,2
data\raw\soyabean_dataset\Rust\RUST(11).jpg,3
data\raw\soyabean_dataset\Cercospora Leaf Blight\CLB(82).jpg,1
data\raw\soyabean_dataset\Sudden Death Syndrome\SDS(52).jpg,4
data\raw\soyabean_dataset\Sudden Death Syndrome\SDS(33).jpg,4
data\raw\soyabean_dataset\Rust\RUST(9).jpg,3
data\raw\soyabean_dataset\Sudden Death Syndrome\SDS(84).jpg,4
data\raw\soyabean_dataset\Rust\RUST(3).jpg,3
data\raw\soyabean_dataset\Cercospora Leaf Blight\CLB(53).jpg,1
data\raw\soyabean_dataset\Sudden Death Syndrome\SDS(69).jpg,4
data\raw\soyabean_dataset\Healthy\HEALTHY(5).jpg,2
data\raw\soyabean_dataset\Sudden Death Syndrome\SDS(38).jpg,4
data\raw\soyabean_dataset\Sudden Death Syndrome\SDS(82).jpg,4
data\raw\soyabean_dataset\Bacterial Blight\BB(55).jpg,0
data\raw\soyabean_dataset\Bacterial Blight\BB(41).jpg,0
data\raw\soyabean_dataset\Sudden Death Syndrome\SDS(40).jpg,4
data\raw\soyabean_dataset\Sudden Death Syndrome\SDS(96).jpg,4
data\raw\soyabean_dataset\Bacterial Blight\BB(51).jpg,0
data\raw\soyabean_dataset\Rust\RUST(14).jpg,3
data\raw\soyabean_dataset\Cercospora Leaf Blight\CLB(29).jpg,1
data\raw\soyabean_dataset\Cercospora Leaf Blight\CLB(25).jpg,1
data\raw\soyabean_dataset\Cercospora Leaf Blight\CLB(47).jpg,1
data\raw\soyabean_dataset\Healthy\HEALTHY(83).jpg,2
data\raw\soyabean_dataset\Cercospora Leaf Blight\CLB(70).jpg,1
data\raw\soyabean_dataset\Sudden Death Syndrome\SDS(41).jpg,4
data\raw\soyabean_dataset\Sudden Death Syndrome\SDS(54).jpg,4
data\raw\soyabean_dataset\Cercospora Leaf Blight\CLB(88).jpg,1
data\raw\soyabean_dataset\Sudden Death Syndrome\SDS(73).jpg,4
data\raw\soyabean_dataset\Cercospora Leaf Blight\CLB(78).jpg,1
data\raw\soyabean_dataset\Rust\RUST(80).jpg,3
data\raw\soyabean_dataset\Sudden Death Syndrome\SDS(28).jpg,4
data\raw\soyabean_dataset\Bacterial Blight\BB(31).jpg,0
data\raw\soyabean_dataset\Rust\RUST(2).jpg,3
data\raw\soyabean_dataset\Rust\RUST(44).jpg,3
data\raw\soyabean_dataset\Cercospora Leaf Blight\CLB(71).jpg,1
data\raw\soyabean_dataset\Sudden Death Syndrome\SDS(71).jpg,4
data\raw\soyabean_dataset\Rust\RUST(76).jpg,3
data\raw\soyabean_dataset\Cercospora Leaf Blight\CLB(68).jpg,1
data\raw\soyabean_dataset\Sudden Death Syndrome\SDS(17).jpg,4
data\raw\soyabean_dataset\Healthy\HEALTHY(53).jpg,2
data\raw\soyabean_dataset\Bacterial Blight\BB(90).jpg,0
data\raw\soyabean_dataset\Bacterial Blight\BB(37).jpg,0
data\raw\soyabean_dataset\Cercospora Leaf Blight\CLB(60).jpg,1
data\raw\soyabean_dataset\Sudden Death Syndrome\SDS(101).jpg,4
data\raw\soyabean_dataset\Sudden Death Syndrome\SDS(9).jpg,4
data\raw\soyabean_dataset\Bacterial Blight\BB(26).jpg,0
data\raw\soyabean_dataset\Cercospora Leaf Blight\CLB(31).jpg,1
data\raw\soyabean_dataset\Rust\RUST(59).jpg,3
data\raw\soyabean_dataset\Bacterial Blight\BB(12).jpg,0
data\raw\soyabean_dataset\Sudden Death Syndrome\SDS(92).jpg,4
data\raw\soyabean_dataset\Cercospora Leaf Blight\CLB(79).jpg,1
data\raw\soyabean_dataset\Cercospora Leaf Blight\CLB(58).jpg,1
data\raw\soyabean_dataset\Cercospora Leaf Blight\CLB(6).jpg,1
data\raw\soyabean_dataset\Sudden Death Syndrome\SDS(75).jpg,4
data\raw\soyabean_dataset\Bacterial Blight\BB(3).jpg,0
data\raw\soyabean_dataset\Cercospora Leaf Blight\CLB(69).jpg,1
data\raw\soyabean_dataset\Rust\RUST(89).jpg,3
data\raw\soyabean_dataset\Healthy\HEALTHY(32).jpg,2
data\raw\soyabean_dataset\Sudden Death Syndrome\SDS(80).jpg,4
data\raw\soyabean_dataset\Sudden Death Syndrome\SDS(43).jpg,4
data\raw\soyabean_dataset\Bacterial Blight\BB(71).jpg,0
data\raw\soyabean_dataset\Healthy\HEALTHY(47).jpg,2
data\raw\soyabean_dataset\Rust\RUST(48).jpg,3
data\raw\soyabean_dataset\Sudden Death Syndrome\SDS(88).jpg,4
data\raw\soyabean_dataset\Bacterial Blight\BB(86).jpg,0
data\raw\soyabean_dataset\Bacterial Blight\BB(8).jpg,0
data\raw\soyabean_dataset\Cercospora Leaf Blight\CLB(34).jpg,1
data\raw\soyabean_dataset\Sudden Death Syndrome\SDS(2).jpg,4
data\raw\soyabean_dataset\Rust\RUST(21).jpg,3
data\raw\soyabean_dataset\Cercospora Leaf Blight\CLB(76).jpg,1
data\raw\soyabean_dataset\Bacterial Blight\BB(18).jpg,0
data\raw\soyabean_dataset\Bacterial Blight\BB(92).jpg,0
