image_path,label
C:\Users\sasmi\Desktop\folders\Soyabean_Disease_Detection\data\raw\soyabean_dataset\Sudden Death Syndrome\SDS(75).jpg,4
C:\Users\sasmi\Desktop\folders\Soyabean_Disease_Detection\data\raw\soyabean_dataset\Bacterial Blight\BB(76).jpg,0
C:\Users\sasmi\Desktop\folders\Soyabean_Disease_Detection\data\raw\soyabean_dataset\Rust\RUST(51).jpg,3
C:\Users\sasmi\Desktop\folders\Soyabean_Disease_Detection\data\raw\soyabean_dataset\Sudden Death Syndrome\SDS(65).jpg,4
C:\Users\sasmi\Desktop\folders\Soyabean_Disease_Detection\data\raw\soyabean_dataset\Rust\RUST(35).jpg,3
C:\Users\sasmi\Desktop\folders\Soyabean_Disease_Detection\data\raw\soyabean_dataset\Sudden Death Syndrome\SDS(33).jpg,4
C:\Users\sasmi\Desktop\folders\Soyabean_Disease_Detection\data\raw\soyabean_dataset\Cercospora Leaf Blight\CLB(70).jpg,1
C:\Users\sasmi\Desktop\folders\Soyabean_Disease_Detection\data\raw\soyabean_dataset\Sudden Death Syndrome\SDS(86).jpg,4
C:\Users\sasmi\Desktop\folders\Soyabean_Disease_Detection\data\raw\soyabean_dataset\Sudden Death Syndrome\SDS(85).jpg,4
C:\Users\sasmi\Desktop\folders\Soyabean_Disease_Detection\data\raw\soyabean_dataset\Healthy\HEALTHY(90).jpg,2
C:\Users\sasmi\Desktop\folders\Soyabean_Disease_Detection\data\raw\soyabean_dataset\Cercospora Leaf Blight\CLB(45).jpg,1
C:\Users\sasmi\Desktop\folders\Soyabean_Disease_Detection\data\raw\soyabean_dataset\Rust\RUST(83).jpg,3
C:\Users\sasmi\Desktop\folders\Soyabean_Disease_Detection\data\raw\soyabean_dataset\Healthy\HEALTHY(35).jpg,2
C:\Users\sasmi\Desktop\folders\Soyabean_Disease_Detection\data\raw\soyabean_dataset\Sudden Death Syndrome\SDS(34).jpg,4
C:\Users\sasmi\Desktop\folders\Soyabean_Disease_Detection\data\raw\soyabean_dataset\Rust\RUST(2).jpg,3
C:\Users\sasmi\Desktop\folders\Soyabean_Disease_Detection\data\raw\soyabean_dataset\Bacterial Blight\BB(66).jpg,0
C:\Users\sasmi\Desktop\folders\Soyabean_Disease_Detection\data\raw\soyabean_dataset\Bacterial Blight\BB(74).jpg,0
C:\Users\sasmi\Desktop\folders\Soyabean_Disease_Detection\data\raw\soyabean_dataset\Healthy\HEALTHY(42).jpg,2
C:\Users\sasmi\Desktop\folders\Soyabean_Disease_Detection\data\raw\soyabean_dataset\Cercospora Leaf Blight\CLB(37).jpg,1
C:\Users\sasmi\Desktop\folders\Soyabean_Disease_Detection\data\raw\soyabean_dataset\Rust\RUST(76).jpg,3
C:\Users\sasmi\Desktop\folders\Soyabean_Disease_Detection\data\raw\soyabean_dataset\Sudden Death Syndrome\SDS(1).jpg,4
C:\Users\sasmi\Desktop\folders\Soyabean_Disease_Detection\data\raw\soyabean_dataset\Healthy\HEALTHY(85).jpg,2
C:\Users\sasmi\Desktop\folders\Soyabean_Disease_Detection\data\raw\soyabean_dataset\Rust\RUST(9).jpg,3
